step,damaged_neurons,dead_neurons,healthy_neurons,neurons_total,total_pro_inflammation,total_anti_inflammation,mean_pro_inflammation,mean_anti_inflammation,microglia_total,microglia_M0,microglia_M1,microglia_M2,microglia_LDAM,microglia_DAM,astrocytes_total,astrocytes_A0,astrocytes_A1,astrocytes_A2,total_ld_neurons,total_ld_microglia,total_ld_astrocytes,total_amyloid_patches,average_amyloid_value,amyloid_monomers_population,amyloid_polymers_population,amyloid_plaques_population,microglia_TREM2_mutant,total_neuron_toxic_lipids,neurons_with_toxic_lipids,LDAM_fraction,DAM_fraction,TREM2_mutant_fraction,total_inflammation,mean_inflammation
1,5,0,15,20,9.66411184,16.6185,0.008874299210284665,0.015260330578512397,15,11,2,2,0,0,20,17,0,3,0.9,0.0,19.8,8.024089056224888,0.4457827253458272,0.39574980976801577,3.098459372007177,4.529879874449697,0,0.0,0,0.0,0.0,0.0,26.28261184,0.02413462978879706
3,3,0,17,20,19.3924774489472,31.612950000000005,0.01780760096322057,0.029029338842975212,15,11,2,2,0,0,20,15,2,3,1.2868000000000002,0.0,18.66,8.184570837349387,0.16369141674698778,0.5552422163680935,3.0986142949757776,4.5307143260055165,0,0.0,0,0.0,0.0,0.0,51.0054274489472,0.046836939806195785
5,3,0,17,20,30.199920921518185,45.11956500000001,0.02773179147981468,0.041432107438016536,15,11,2,2,0,0,20,14,3,3,1.861064,0.0,17.262,8.348262254096376,0.08518634953159569,0.7175569114114693,3.0989253028352426,4.531780039849665,0,0.0,0,0.0,0.0,0.0,75.3194859215182,0.06916389891783122
7,2,0,18,20,38.832672395404,57.256645500000005,0.035659019646835634,0.052577268595041325,15,11,2,2,0,0,20,14,3,3,1.8027880000000003,0.0,16.2834,8.515227499178309,0.05256313271097721,1.109344062018908,3.09939358365109,4.30648985350831,0,0.0,0,0.0,0.0,0.0,96.08931789540401,0.08823628824187696
9,2,0,18,20,45.72201655760925,68.16680685,0.04198532282608747,0.06259578223140495,15,11,2,2,0,0,20,14,3,3,2.16673224,0.0,15.59838,8.685532049161875,0.03589062830232181,1.4318986659709958,2.9450477533316466,4.308585629859233,0,0.0,0,0.0,0.0,0.0,113.88882340760925,0.10458110505749242
11,0,0,20,20,51.226541129985954,77.97670429500002,0.04703998267216341,0.07160395252066118,15,11,2,2,0,0,20,14,3,3,0.696875689024,0.0,15.118866,8.859242690145113,0.028035578133370608,1.8175404959996708,2.9462187778061555,4.0954834163392855,0,0.0,0,0.0,0.0,0.0,129.20324542498597,0.1186439351928246
13,0,0,20,20,55.63302033203641,90.0661385565,0.05108633639305456,0.08270536139256197,15,10,2,3,0,0,20,14,3,3,0.68293817524352,0.0,14.1832062,9.036427543948012,0.022704591818964854,2.1376511925244364,2.8002310392489234,4.098545312174652,0,0.0,0,0.0,0.0,0.0,145.6991588885364,0.13379169778561653
15,0,0,20,20,64.67527448622062,111.07249798455001,0.05938960007917412,0.10199494764421489,15,9,3,3,0,0,20,10,4,6,0.6692794117386496,0.0,13.22824434,9.217156094826976,0.01888761494841593,2.313253506884991,2.802075025416433,4.101827562525551,0,0.0,0,0.0,0.0,0.0,175.74777247077063,0.161384547723389
17,0,0,20,20,74.97604516162954,136.47232948468502,0.06884852631921905,0.12531894351210746,15,7,3,5,0,0,20,9,5,6,0.6558938235038766,0.0,11.959771038,9.401499216723513,0.016043514021712484,2.4815259901049864,2.8146316461198873,4.1053415804986395,0,0.0,0,0.0,0.0,0.0,211.44837464631456,0.1941674698313265
19,0,0,20,20,83.6036319656961,165.9300534452295,0.07677101190605702,0.15236919508285537,15,6,3,6,0,0,20,8,5,7,0.642775947033799,0.75,11.0718397266,8.671529201057988,0.012531111562222523,4.562448469429908,0.0,4.1090807316280795,0,0.0,0,0.0,0.0,0.0,249.5336854109256,0.2291402069889124
21,0,0,20,20,96.66623187497972,189.20351793701565,0.08876605314506861,0.1737406041662219,15,5,5,5,0,0,20,8,5,7,0.6299204280931231,2.235,10.15028780862,8.844959785079148,0.01126746469436834,4.731903917520628,0.0,4.1130558675585185,0,0.0,0,0.0,0.0,0.0,285.86974981199535,0.2625066573112905
23,0,0,20,20,109.54144473150265,210.13719502873047,0.10058902179201346,0.19296344814392147,15,4,6,5,0,0,20,8,5,7,0.6173220195312606,2.9402999999999997,9.505201466034,9.021858980780728,0.010502746194156842,5.110242606097357,3.911616374683371,0.0,0,0.0,0,0.0,0.0,0.0,319.6786397602331,0.2935524699359349
25,0,0,20,20,119.8373356405651,228.9687957456489,0.11004346707122599,0.21025601078571982,15,4,6,5,0,0,20,8,5,7,0.6049755791406354,3.6314939999999996,9.0536410262238,9.202296160396344,0.009863125573843882,5.2857110432846675,3.9165851171116772,0.0,0,0.0,0,0.0,0.0,0.0,348.806131386214,0.3202994778569458
27,0,0,20,20,128.70916517901952,245.911140324938,0.11819023432416852,0.22581371930664645,15,4,6,5,0,0,20,8,5,7,0.5928760675578226,5.808864119999999,8.73754871835666,7.550342083604269,0.007497857084016157,5.428549165322149,2.1217929182821202,0.0,0,0.0,0,0.0,0.0,0.0,374.6203055039575,0.344003953630815
29,0,0,20,20,134.03920127983466,261.15498320014206,0.1230846660053578,0.2398117384757962,15,4,6,5,0,0,20,8,5,7,0.5810185462066662,7.192686837599999,8.516284102849662,6.7833489252763535,0.006275068386009579,6.783348925276355,0.0,0.0,0,0.0,0,0.0,0.0,0.0,395.1941844799767,0.362896404481154
